season,date,home_team,away_team,home_goals,away_goals,result,source_file,home_team_official,away_team_official,expected_result,result_is_valid
2010-11,2010-08-28,Hercules,Ath Bilbao,0,1,A,2010-11_SP1.csv,Hércules CF,Athletic Bilbao,A,True
2010-11,2010-08-28,Levante,Sevilla,1,4,A,2010-11_SP1.csv,Levante UD,Sevilla FC,A,True
2010-11,2010-08-28,Malaga,Valencia,1,3,A,2010-11_SP1.csv,Málaga CF,Valencia CF,A,True
2010-11,2010-08-29,Espanol,Getafe,3,1,H,2010-11_SP1.csv,RCD Espanyol,Getafe CF,H,True
2010-11,2010-08-29,La Coruna,Zaragoza,0,0,D,2010-11_SP1.csv,Deportivo La Coruña,Real Zaragoza,D,True
2010-11,2010-08-29,Mallorca,Real Madrid,0,0,D,2010-11_SP1.csv,RCD Mallorca,Real Madrid CF,D,True
2010-11,2010-08-29,Osasuna,Almeria,0,0,D,2010-11_SP1.csv,CA Osasuna,UD Almería,D,True
2010-11,2010-08-29,Santander,Barcelona,0,3,A,2010-11_SP1.csv,Racing Santander,FC Barcelona,A,True
2010-11,2010-08-29,Sociedad,Villarreal,1,0,H,2010-11_SP1.csv,Real Sociedad,Villarreal CF,H,True
2010-11,2010-08-30,Ath Madrid,Sp Gijon,4,0,H,2010-11_SP1.csv,Club Atlético de Madrid,Sporting Gijón,H,True
2010-11,2010-09-11,Ath Bilbao,Ath Madrid,1,2,A,2010-11_SP1.csv,Athletic Bilbao,Club Atlético de Madrid,A,True
2010-11,2010-09-11,Barcelona,Hercules,0,2,A,2010-11_SP1.csv,FC Barcelona,Hércules CF,A,True
2010-11,2010-09-11,Real Madrid,Osasuna,1,0,H,2010-11_SP1.csv,Real Madrid CF,CA Osasuna,H,True
2010-11,2010-09-11,Valencia,Santander,1,0,H,2010-11_SP1.csv,Valencia CF,Racing Santander,H,True
2010-11,2010-09-12,Getafe,Levante,4,1,H,2010-11_SP1.csv,Getafe CF,Levante UD,H,True
2010-11,2010-09-12,Sevilla,La Coruna,0,0,D,2010-11_SP1.csv,Sevilla FC,Deportivo La Coruña,D,True
2010-11,2010-09-12,Sp Gijon,Mallorca,2,0,H,2010-11_SP1.csv,Sporting Gijón,RCD Mallorca,H,True
2010-11,2010-09-12,Villarreal,Espanol,4,0,H,2010-11_SP1.csv,Villarreal CF,RCD Espanyol,H,True
2010-11,2010-09-12,Zaragoza,Malaga,3,5,A,2010-11_SP1.csv,Real Zaragoza,Málaga CF,A,True
2010-11,2010-09-13,Almeria,Sociedad,2,2,D,2010-11_SP1.csv,UD Almería,Real Sociedad,D,True
2010-11,2010-09-18,Espanol,Almeria,1,0,H,2010-11_SP1.csv,RCD Espanyol,UD Almería,H,True
2010-11,2010-09-18,Mallorca,Osasuna,2,0,H,2010-11_SP1.csv,RCD Mallorca,CA Osasuna,H,True
2010-11,2010-09-18,Sociedad,Real Madrid,1,2,A,2010-11_SP1.csv,Real Sociedad,Real Madrid CF,A,True
2010-11,2010-09-18,Sp Gijon,Ath Bilbao,2,2,D,2010-11_SP1.csv,Sporting Gijón,Athletic Bilbao,D,True
2010-11,2010-09-19,Ath Madrid,Barcelona,1,2,A,2010-11_SP1.csv,Club Atlético de Madrid,FC Barcelona,A,True
