season,team
2010-11,Almeria
2010-11,Ath Bilbao
2010-11,Ath Madrid
2010-11,Barcelona
2010-11,Espanol
2010-11,Getafe
2010-11,Hercules
2010-11,La Coruna
2010-11,Levante
2010-11,Malaga
2010-11,Mallorca
2010-11,Osasuna
2010-11,Real Madrid
2010-11,Santander
2010-11,Sevilla
2010-11,Sociedad
2010-11,Sp Gijon
2010-11,Valencia
2010-11,Villarreal
2010-11,Zaragoza
2011-12,Ath Bilbao
2011-12,Ath Madrid
2011-12,Barcelona
2011-12,Betis
2011-12,Espanol
2011-12,Getafe
2011-12,Granada
2011-12,Levante
2011-12,Malaga
2011-12,Mallorca
2011-12,Osasuna
2011-12,Real Madrid
2011-12,Santander
2011-12,Sevilla
2011-12,Sociedad
2011-12,Sp Gijon
2011-12,Valencia
2011-12,Vallecano
2011-12,Villarreal
2011-12,Zaragoza
2012-13,Ath Bilbao
2012-13,Ath Madrid
2012-13,Barcelona
2012-13,Betis
2012-13,Celta
2012-13,Espanol
2012-13,Getafe
2012-13,Granada
2012-13,La Coruna
2012-13,Levante
2012-13,Malaga
2012-13,Mallorca
2012-13,Osasuna
2012-13,Real Madrid
2012-13,Sevilla
2012-13,Sociedad
2012-13,Valencia
2012-13,Valladolid
2012-13,Vallecano
2012-13,Zaragoza
2013-14,Almeria
2013-14,Ath Bilbao
2013-14,Ath Madrid
2013-14,Barcelona
2013-14,Betis
2013-14,Celta
2013-14,Elche
2013-14,Espanol
2013-14,Getafe
2013-14,Granada
2013-14,Levante
2013-14,Malaga
2013-14,Osasuna
2013-14,Real Madrid
2013-14,Sevilla
2013-14,Sociedad
2013-14,Valencia
2013-14,Valladolid
2013-14,Vallecano
2013-14,Villarreal
2014-15,Almeria
2014-15,Ath Bilbao
2014-15,Ath Madrid
2014-15,Barcelona
2014-15,Celta
2014-15,Cordoba
2014-15,Eibar
2014-15,Elche
2014-15,Espanol
2014-15,Getafe
2014-15,Granada
2014-15,La Coruna
2014-15,Levante
2014-15,Malaga
2014-15,Real Madrid
2014-15,Sevilla
2014-15,Sociedad
2014-15,Valencia
2014-15,Vallecano
2014-15,Villarreal
2015-16,Ath Bilbao
2015-16,Ath Madrid
2015-16,Barcelona
2015-16,Betis
2015-16,Celta
2015-16,Eibar
2015-16,Espanol
2015-16,Getafe
2015-16,Granada
2015-16,La Coruna
2015-16,Las Palmas
2015-16,Levante
2015-16,Malaga
2015-16,Real Madrid
2015-16,Sevilla
2015-16,Sociedad
2015-16,Sp Gijon
2015-16,Valencia
2015-16,Vallecano
2015-16,Villarreal
2016-17,Alaves
2016-17,Ath Bilbao
2016-17,Ath Madrid
2016-17,Barcelona
2016-17,Betis
2016-17,Celta
2016-17,Eibar
2016-17,Espanol
2016-17,Granada
2016-17,La Coruna
2016-17,Las Palmas
2016-17,Leganes
2016-17,Malaga
2016-17,Osasuna
2016-17,Real Madrid
2016-17,Sevilla
2016-17,Sociedad
2016-17,Sp Gijon
2016-17,Valencia
2016-17,Villarreal
2017-18,Alaves
2017-18,Ath Bilbao
2017-18,Ath Madrid
2017-18,Barcelona
2017-18,Betis
2017-18,Celta
2017-18,Eibar
2017-18,Espanol
2017-18,Getafe
2017-18,Girona
2017-18,La Coruna
2017-18,Las Palmas
2017-18,Leganes
2017-18,Levante
2017-18,Malaga
2017-18,Real Madrid
2017-18,Sevilla
2017-18,Sociedad
2017-18,Valencia
2017-18,Villarreal
2018-19,Alaves
2018-19,Ath Bilbao
2018-19,Ath Madrid
2018-19,Barcelona
2018-19,Betis
2018-19,Celta
2018-19,Eibar
2018-19,Espanol
2018-19,Getafe
2018-19,Girona
2018-19,Huesca
2018-19,Leganes
2018-19,Levante
2018-19,Real Madrid
2018-19,Sevilla
2018-19,Sociedad
2018-19,Valencia
2018-19,Valladolid
2018-19,Vallecano
2018-19,Villarreal
2019-20,Alaves
2019-20,Ath Bilbao
2019-20,Ath Madrid
2019-20,Barcelona
2019-20,Betis
2019-20,Celta
2019-20,Eibar
2019-20,Espanol
2019-20,Getafe
2019-20,Granada
2019-20,Leganes
2019-20,Levante
2019-20,Mallorca
2019-20,Osasuna
2019-20,Real Madrid
2019-20,Sevilla
2019-20,Sociedad
2019-20,Valencia
2019-20,Valladolid
2019-20,Villarreal
