season,position,team,team_official,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
2010-11,1,Barcelona,FC Barcelona,38,30,6,2,95,21,74,96
2010-11,2,Real Madrid,Real Madrid CF,38,29,5,4,102,33,69,92
2010-11,3,Valencia,Valencia CF,38,21,8,9,64,44,20,71
2010-11,4,Villarreal,Villarreal CF,38,18,8,12,54,44,10,62
2010-11,5,Ath Madrid,Club Atlético de Madrid,38,17,7,14,62,53,9,58
2010-11,6,Ath Bilbao,Athletic Bilbao,38,18,4,16,59,55,4,58
2010-11,7,Sevilla,Sevilla FC,38,17,7,14,62,61,1,58
2010-11,8,Espanol,RCD Espanyol,38,15,4,19,46,55,-9,49
2010-11,9,Osasuna,CA Osasuna,38,13,8,17,45,46,-1,47
2010-11,10,Sp Gijon,Sporting Gijón,38,11,14,13,35,42,-7,47
2010-11,11,Malaga,Málaga CF,38,13,7,18,54,68,-14,46
2010-11,12,Santander,Racing Santander,38,12,10,16,41,56,-15,46
2010-11,13,Levante,Levante UD,38,12,9,17,41,52,-11,45
2010-11,14,Zaragoza,Real Zaragoza,38,12,9,17,40,53,-13,45
2010-11,15,Sociedad,Real Sociedad,38,14,3,21,49,66,-17,45
2010-11,16,Getafe,Getafe CF,38,12,8,18,49,60,-11,44
2010-11,17,Mallorca,RCD Mallorca,38,12,8,18,41,56,-15,44
2010-11,18,La Coruna,Deportivo La Coruña,38,10,13,15,31,47,-16,43
2010-11,19,Hercules,Hércules CF,38,9,8,21,36,60,-24,35
2010-11,20,Almeria,UD Almería,38,6,12,20,36,70,-34,30
2011-12,1,Real Madrid,Real Madrid CF,38,32,4,2,121,32,89,100
2011-12,2,Barcelona,FC Barcelona,38,28,7,3,114,29,85,91
2011-12,3,Valencia,Valencia CF,38,17,10,11,59,44,15,61
2011-12,4,Malaga,Málaga CF,38,17,7,14,54,53,1,58
2011-12,5,Ath Madrid,Club Atlético de Madrid,38,15,11,12,53,46,7,56
2011-12,6,Levante,Levante UD,38,16,7,15,54,50,4,55
2011-12,7,Osasuna,CA Osasuna,38,13,15,10,44,61,-17,54
2011-12,8,Mallorca,RCD Mallorca,38,14,10,14,42,46,-4,52
2011-12,9,Sevilla,Sevilla FC,38,13,11,14,48,47,1,50
2011-12,10,Ath Bilbao,Athletic Bilbao,38,12,13,13,49,52,-3,49
2011-12,11,Sociedad,Real Sociedad,38,12,11,15,46,52,-6,47
2011-12,12,Betis,Real Betis Balompié,38,13,8,17,47,56,-9,47
2011-12,13,Getafe,Getafe CF,38,12,11,15,40,51,-11,47
2011-12,14,Espanol,RCD Espanyol,38,12,10,16,46,56,-10,46
2011-12,15,Vallecano,Rayo Vallecano,38,13,4,21,53,73,-20,43
2011-12,16,Zaragoza,Real Zaragoza,38,12,7,19,36,61,-25,43
2011-12,17,Granada,Granada CF,38,12,6,20,35,56,-21,42
2011-12,18,Villarreal,Villarreal CF,38,9,14,15,39,53,-14,41
2011-12,19,Sp Gijon,Sporting Gijón,38,10,7,21,42,69,-27,37
2011-12,20,Santander,Racing Santander,38,4,15,19,28,63,-35,27
2012-13,1,Barcelona,FC Barcelona,38,32,4,2,115,40,75,100
2012-13,2,Real Madrid,Real Madrid CF,38,26,7,5,103,42,61,85
2012-13,3,Ath Madrid,Club Atlético de Madrid,38,23,7,8,65,31,34,76
2012-13,4,Sociedad,Real Sociedad,38,18,12,8,70,49,21,66
2012-13,5,Valencia,Valencia CF,38,19,8,11,67,54,13,65
2012-13,6,Malaga,Málaga CF,38,16,9,13,53,50,3,57
2012-13,7,Betis,Real Betis Balompié,38,16,8,14,57,56,1,56
2012-13,8,Vallecano,Rayo Vallecano,38,16,5,17,50,66,-16,53
2012-13,9,Sevilla,Sevilla FC,38,14,8,16,58,54,4,50
2012-13,10,Getafe,Getafe CF,38,13,8,17,43,57,-14,47
2012-13,11,Levante,Levante UD,38,12,10,16,40,57,-17,46
2012-13,12,Ath Bilbao,Athletic Bilbao,38,12,9,17,44,65,-21,45
2012-13,13,Espanol,RCD Espanyol,38,11,11,16,43,52,-9,44
2012-13,14,Valladolid,Real Valladolid CF,38,11,10,17,49,58,-9,43
2012-13,15,Granada,Granada CF,38,11,9,18,37,54,-17,42
2012-13,16,Osasuna,CA Osasuna,38,10,9,19,33,50,-17,39
2012-13,17,Celta,RC Celta de Vigo,38,10,7,21,37,52,-15,37
2012-13,18,Mallorca,RCD Mallorca,38,9,9,20,43,72,-29,36
2012-13,19,La Coruna,Deportivo La Coruña,38,8,11,19,47,70,-23,35
2012-13,20,Zaragoza,Real Zaragoza,38,9,7,22,37,62,-25,34
2013-14,1,Ath Madrid,Club Atlético de Madrid,38,28,6,4,77,26,51,90
2013-14,2,Barcelona,FC Barcelona,38,27,6,5,100,33,67,87
2013-14,3,Real Madrid,Real Madrid CF,38,27,6,5,104,38,66,87
