team,team_official,seasons_played
Ath Bilbao,Athletic Bilbao,10
Ath Madrid,Club Atlético de Madrid,10
Barcelona,FC Barcelona,10
Espanol,RCD Espanyol,10
Real Madrid,Real Madrid CF,10
Sevilla,Sevilla FC,10
Sociedad,Real Sociedad,10
Valencia,Valencia CF,10
Getafe,Getafe CF,9
Levante,Levante UD,9
Villarreal,Villarreal CF,9
Betis,Real Betis Balompié,8
Celta,RC Celta de Vigo,8
Malaga,Málaga CF,8
Granada,Granada CF,7
Eibar,SD Eibar,6
La Coruna,Deportivo La Coruña,6
Osasuna,CA Osasuna,6
Vallecano,Rayo Vallecano,6
Alaves,Deportivo Alavés,4
Leganes,CD Leganés,4
Mallorca,RCD Mallorca,4
Sp Gijon,Sporting Gijón,4
Valladolid,Real Valladolid CF,4
Almeria,UD Almería,3
Las Palmas,UD Las Palmas,3
Zaragoza,Real Zaragoza,3
Elche,Elche CF,2
Girona,Girona FC,2
Santander,Racing Santander,2
Cordoba,Córdoba CF,1
Hercules,Hércules CF,1
Huesca,SD Huesca,1
