season,team,team_official,matches,wins,draws,losses,points,points_per_match,goals_for,goals_against,goal_difference,goals_for_per_match,goals_against_per_match,clean_sheets,failed_to_score,home_matches,home_wins,home_draws,home_losses,home_points,home_points_per_match,home_goals_for,home_goals_against,home_goal_difference,home_goals_for_per_match,home_goals_against_per_match,home_clean_sheets,home_failed_to_score,away_matches,away_wins,away_draws,away_losses,away_points,away_points_per_match,away_goals_for,away_goals_against,away_goal_difference,away_goals_for_per_match,away_goals_against_per_match,away_clean_sheets,away_failed_to_score
2010-11,Barcelona,FC Barcelona,38,30,6,2,96,2.53,95,21,74,2.5,0.55,19,2,19,16,2,1,50,2.63,46,10,36,2.42,0.53,10,2,19,14,4,1,46,2.42,49,11,38,2.58,0.58,9,0
2010-11,Real Madrid,Real Madrid CF,38,29,5,4,92,2.42,102,33,69,2.68,0.87,16,6,19,16,1,2,49,2.58,61,12,49,3.21,0.63,10,1,19,13,4,2,43,2.26,41,21,20,2.16,1.11,6,5
2010-11,Valencia,Valencia CF,38,21,8,9,71,1.87,64,44,20,1.68,1.16,12,8,19,10,5,4,35,1.84,34,21,13,1.79,1.11,8,4,19,11,3,5,36,1.89,30,23,7,1.58,1.21,4,4
2010-11,Villarreal,Villarreal CF,38,18,8,12,62,1.63,54,44,10,1.42,1.16,13,9,19,13,3,3,42,2.21,33,14,19,1.74,0.74,8,2,19,5,5,9,20,1.05,21,30,-9,1.11,1.58,5,7
2010-11,Ath Madrid,Club Atlético de Madrid,38,17,7,14,58,1.53,62,53,9,1.63,1.39,11,8,19,10,3,6,33,1.74,35,20,15,1.84,1.05,8,3,19,7,4,8,25,1.32,27,33,-6,1.42,1.74,3,5
2010-11,Ath Bilbao,Athletic Bilbao,38,18,4,16,58,1.53,59,55,4,1.55,1.45,9,4,19,12,1,6,37,1.95,32,20,12,1.68,1.05,7,2,19,6,3,10,21,1.11,27,35,-8,1.42,1.84,2,2
2010-11,Sevilla,Sevilla FC,38,17,7,14,58,1.53,62,61,1,1.63,1.61,8,9,19,10,4,5,34,1.79,35,27,8,1.84,1.42,6,2,19,7,3,9,24,1.26,27,34,-7,1.42,1.79,2,7
2010-11,Espanol,RCD Espanyol,38,15,4,19,49,1.29,46,55,-9,1.21,1.45,10,14,19,11,2,6,35,1.84,33,22,11,1.74,1.16,7,2,19,4,2,13,14,0.74,13,33,-20,0.68,1.74,3,12
2010-11,Osasuna,CA Osasuna,38,13,8,17,47,1.24,45,46,-1,1.18,1.21,14,16,19,10,6,3,36,1.89,28,14,14,1.47,0.74,11,5,19,3,2,14,11,0.58,17,32,-15,0.89,1.68,3,11
2010-11,Sp Gijon,Sporting Gijón,38,11,14,13,47,1.24,35,42,-7,0.92,1.11,14,14,19,9,6,4,33,1.74,23,16,7,1.21,0.84,9,3,19,2,8,9,14,0.74,12,26,-14,0.63,1.37,5,11
2010-11,Malaga,Málaga CF,38,13,7,18,46,1.21,54,68,-14,1.42,1.79,9,9,19,7,3,9,24,1.26,29,29,0,1.53,1.53,5,3,19,6,4,9,22,1.16,25,39,-14,1.32,2.05,4,6
