team,team_official,seasons_played,total_points,avg_points_per_season,best_points,worst_points,avg_position,best_position,worst_position
Barcelona,FC Barcelona,10,911,91.1,100,82,1.4,1,2
Real Madrid,Real Madrid CF,10,870,87.0,100,68,2.0,1,3
Ath Madrid,Club Atlético de Madrid,10,749,74.9,90,56,3.0,1,5
Sevilla,Sevilla FC,10,608,60.8,76,50,6.2,4,9
Valencia,Valencia CF,10,600,60.0,77,44,6.3,3,12
Ath Bilbao,Athletic Bilbao,10,549,54.9,70,43,8.6,4,16
Sociedad,Real Sociedad,10,530,53.0,66,45,9.0,4,15
Villarreal,Villarreal CF,9,518,57.55555555555556,67,41,7.444444444444445,4,18
Espanol,RCD Espanyol,10,456,45.6,56,25,12.0,7,20
Getafe,Getafe CF,9,421,46.77777777777778,59,36,12.0,6,19
Levante,Levante UD,9,402,44.666666666666664,55,32,13.0,6,20
Malaga,Málaga CF,8,370,46.25,58,20,10.0,4,20
Celta,RC Celta de Vigo,8,369,46.125,60,37,12.25,6,17
Betis,Real Betis Balompié,8,363,45.375,60,25,11.875,6,20
Granada,Granada CF,7,275,39.285714285714285,56,20,15.571428571428571,7,20
Eibar,SD Eibar,6,272,45.333333333333336,54,35,12.333333333333334,9,16
Vallecano,Rayo Vallecano,6,258,43.0,53,32,14.0,8,20
Osasuna,CA Osasuna,6,253,42.166666666666664,54,22,13.166666666666666,7,19
La Coruna,Deportivo La Coruña,6,220,36.666666666666664,43,29,17.166666666666668,15,19
Alaves,Deportivo Alavés,4,191,47.75,55,39,12.5,9,16
Mallorca,RCD Mallorca,4,165,41.25,52,33,15.5,8,19
Valladolid,Real Valladolid CF,4,162,40.5,43,36,15.75,13,19
Leganes,CD Leganés,4,159,39.75,45,35,16.25,13,18
Sp Gijon,Sporting Gijón,4,154,38.5,47,31,15.75,10,19
Zaragoza,Real Zaragoza,3,122,40.666666666666664,45,34,16.666666666666668,14,20
Las Palmas,UD Las Palmas,3,105,35.0,44,22,15.0,12,19
Almeria,UD Almería,3,102,34.0,40,30,18.666666666666668,17,20
Girona,Girona FC,2,88,44.0,51,37,14.0,10,18
Elche,Elche CF,2,81,40.5,41,40,14.5,13,16
Santander,Racing Santander,2,73,36.5,46,27,16.0,12,20
Hercules,Hércules CF,1,35,35.0,35,35,19.0,19,19
Huesca,SD Huesca,1,33,33.0,33,33,19.0,19,19
Cordoba,Córdoba CF,1,20,20.0,20,20,20.0,20,20
