team,team_official,seasons_played,matches,home_matches,away_matches,goals_against,home_goals_against,away_goals_against,clean_sheets,home_clean_sheets,away_clean_sheets,min_goals_against_in_season,max_clean_sheets_in_season,goals_against_per_match,home_goals_against_per_match,away_goals_against_per_match,clean_sheet_rate,home_clean_sheet_rate,away_clean_sheet_rate
Ath Madrid,Club Atlético de Madrid,10,380,190,190,308,120,188,189,108,81,18,24,0.81,0.63,0.99,49.7,56.8,42.6
Barcelona,FC Barcelona,10,380,190,190,313,137,176,169,89,80,21,23,0.82,0.72,0.93,44.5,46.8,42.1
Real Madrid,Real Madrid CF,10,380,190,190,373,166,207,137,79,58,25,19,0.98,0.87,1.09,36.1,41.6,30.5
Villarreal,Villarreal CF,9,342,171,171,397,175,222,115,60,55,33,17,1.16,1.02,1.3,33.6,35.1,32.2
Valencia,Valencia CF,10,380,190,190,466,199,267,107,68,39,32,14,1.23,1.05,1.41,28.2,35.8,20.5
Ath Bilbao,Athletic Bilbao,10,380,190,190,472,190,282,109,67,42,38,14,1.24,1.0,1.48,28.7,35.3,22.1
Sevilla,Sevilla FC,10,380,190,190,497,200,297,119,76,43,34,17,1.31,1.05,1.56,31.3,40.0,22.6
Leganes,CD Leganés,4,152,76,76,200,84,116,45,30,15,43,14,1.32,1.11,1.53,29.6,39.5,19.7
Alaves,Deportivo Alavés,4,152,76,76,202,82,120,41,26,15,43,12,1.33,1.08,1.58,27.0,34.2,19.7
Getafe,Getafe CF,9,342,171,171,458,180,278,94,62,32,33,15,1.34,1.05,1.63,27.5,36.3,18.7
Malaga,Málaga CF,8,304,152,152,416,176,240,80,47,33,35,13,1.37,1.16,1.58,26.3,30.9,21.7
Sociedad,Real Sociedad,10,380,190,190,527,213,314,102,64,38,46,13,1.39,1.12,1.65,26.8,33.7,20.0
Valladolid,Real Valladolid CF,4,152,76,76,212,84,128,42,25,17,43,12,1.39,1.11,1.68,27.6,32.9,22.4
Eibar,SD Eibar,6,228,114,114,323,137,186,56,33,23,50,11,1.42,1.2,1.63,24.6,28.9,20.2
Espanol,RCD Espanyol,10,380,190,190,539,236,303,101,60,41,42,13,1.42,1.24,1.59,26.6,31.6,21.6
Elche,Elche CF,2,76,38,38,112,43,69,20,14,6,50,11,1.47,1.13,1.82,26.3,36.8,15.8
Girona,Girona FC,2,76,38,38,112,50,62,20,11,9,53,11,1.47,1.32,1.63,26.3,28.9,23.7
Celta,RC Celta de Vigo,8,304,152,152,449,191,258,69,37,32,44,12,1.48,1.26,1.7,22.7,24.3,21.1
Levante,Levante UD,9,342,171,171,516,218,298,84,51,33,43,16,1.51,1.27,1.74,24.6,29.8,19.3
Zaragoza,Real Zaragoza,3,114,57,57,176,78,98,25,15,10,53,10,1.54,1.37,1.72,21.9,26.3,17.5
Mallorca,RCD Mallorca,4,152,76,76,239,86,153,32,27,5,46,12,1.57,1.13,2.01,21.1,35.5,6.6
Santander,Racing Santander,2,76,38,38,119,45,74,19,13,6,56,10,1.57,1.18,1.95,25.0,34.2,15.8
Hercules,Hércules CF,1,38,19,19,60,27,33,8,5,3,60,8,1.58,1.42,1.74,21.1,26.3,15.8
Betis,Real Betis Balompié,8,304,152,152,479,205,274,81,48,33,52,13,1.58,1.35,1.8,26.6,31.6,21.7
Granada,Granada CF,7,266,133,133,426,159,267,61,40,21,45,13,1.6,1.2,2.01,22.9,30.1,15.8
Sp Gijon,Sporting Gijón,4,152,76,76,245,108,137,32,17,15,42,14,1.61,1.42,1.8,21.1,22.4,19.7
Osasuna,CA Osasuna,6,228,114,114,367,140,227,58,39,19,46,14,1.61,1.23,1.99,25.4,34.2,16.7
La Coruna,Deportivo La Coruña,6,228,114,114,375,165,210,55,35,20,47,13,1.64,1.45,1.84,24.1,30.7,17.5
Huesca,SD Huesca,1,38,19,19,65,30,35,6,3,3,65,6,1.71,1.58,1.84,15.8,15.8,15.8
Las Palmas,UD Las Palmas,3,114,57,57,201,80,121,21,16,5,53,11,1.76,1.4,2.12,18.4,28.1,8.8
Cordoba,Córdoba CF,1,38,19,19,68,33,35,7,4,3,68,7,1.79,1.74,1.84,18.4,21.1,15.8
Almeria,UD Almería,3,114,57,57,205,94,111,21,13,8,64,10,1.8,1.65,1.95,18.4,22.8,14.0
Vallecano,Rayo Vallecano,6,228,114,114,430,178,252,52,33,19,66,10,1.89,1.56,2.21,22.8,28.9,16.7
