team,team_official,seasons_played,home_points,away_points,home_matches,away_matches,home_wins,away_wins,home_goals_for,away_goals_for,home_goals_against,away_goals_against,home_ppm,away_ppm,home_away_ppm_gap,home_win_rate,away_win_rate
Alaves,Deportivo Alavés,4,113,78,76,76,30,22,79,75,82,120,1.49,1.03,0.46,39.5,28.9
Almeria,UD Almería,3,59,43,57,57,12,13,69,45,94,111,1.04,0.75,0.29,21.1,22.8
Ath Bilbao,Athletic Bilbao,10,340,209,190,190,97,53,290,204,190,282,1.79,1.1,0.69,51.1,27.9
Ath Madrid,Club Atlético de Madrid,10,433,316,190,190,132,88,367,254,120,188,2.28,1.66,0.62,69.5,46.3
Barcelona,FC Barcelona,10,502,409,190,190,161,122,597,440,137,176,2.64,2.15,0.49,84.7,64.2
Betis,Real Betis Balompié,8,221,142,152,152,60,38,208,159,205,274,1.45,0.93,0.52,39.5,25.0
Celta,RC Celta de Vigo,8,227,142,152,152,60,37,222,164,191,258,1.49,0.93,0.56,39.5,24.3
Cordoba,Córdoba CF,1,9,11,19,19,1,2,12,10,33,35,0.47,0.58,-0.11,5.3,10.5
Eibar,SD Eibar,6,168,104,114,114,48,23,157,111,137,186,1.47,0.91,0.56,42.1,20.2
Elche,Elche CF,2,47,34,38,38,12,8,32,33,43,69,1.24,0.89,0.35,31.6,21.1
Espanol,RCD Espanyol,10,286,170,190,190,79,41,248,175,236,303,1.51,0.89,0.62,41.6,21.6
Getafe,Getafe CF,9,260,161,171,171,72,39,220,150,180,278,1.52,0.94,0.58,42.1,22.8
Girona,Girona FC,2,42,46,38,38,11,12,43,44,50,62,1.11,1.21,-0.1,28.9,31.6
Granada,Granada CF,7,169,106,133,133,45,27,143,118,159,267,1.27,0.8,0.47,33.8,20.3
Hercules,Hércules CF,1,26,9,19,19,7,2,27,9,27,33,1.37,0.47,0.9,36.8,10.5
Huesca,SD Huesca,1,21,12,19,19,5,2,24,19,30,35,1.11,0.63,0.48,26.3,10.5
La Coruna,Deportivo La Coruña,6,138,82,114,114,34,13,141,98,165,210,1.21,0.72,0.49,29.8,11.4
Las Palmas,UD Las Palmas,3,76,29,57,57,21,6,73,49,80,121,1.33,0.51,0.82,36.8,10.5
Leganes,CD Leganés,4,101,58,76,76,26,13,77,60,84,116,1.33,0.76,0.57,34.2,17.1
Levante,Levante UD,9,256,146,171,171,70,35,231,160,218,298,1.5,0.85,0.65,40.9,20.5
Malaga,Málaga CF,8,234,136,152,152,68,33,219,134,176,240,1.54,0.89,0.65,44.7,21.7
Mallorca,RCD Mallorca,4,116,49,76,76,33,11,97,69,86,153,1.53,0.64,0.89,43.4,14.5
Osasuna,CA Osasuna,6,162,91,114,114,42,21,138,102,140,227,1.42,0.8,0.62,36.8,18.4
Real Madrid,Real Madrid CF,10,475,395,190,190,151,119,570,421,166,207,2.5,2.08,0.42,79.5,62.6
Santander,Racing Santander,2,46,27,38,38,11,5,36,33,45,74,1.21,0.71,0.5,28.9,13.2
Sevilla,Sevilla FC,10,389,219,190,190,117,56,359,234,200,297,2.05,1.15,0.9,61.6,29.5
Sociedad,Real Sociedad,10,326,204,190,190,93,53,319,223,213,314,1.72,1.07,0.65,48.9,27.9
Sp Gijon,Sporting Gijón,4,102,52,76,76,28,10,101,58,108,137,1.34,0.68,0.66,36.8,13.2
Valencia,Valencia CF,10,361,239,190,190,104,63,339,236,199,267,1.9,1.26,0.64,54.7,33.2
Valladolid,Real Valladolid CF,4,99,63,76,76,23,14,83,68,84,128,1.3,0.83,0.47,30.3,18.4
Vallecano,Rayo Vallecano,6,154,104,114,114,46,28,164,124,178,252,1.35,0.91,0.44,40.4,24.6
Villarreal,Villarreal CF,9,308,210,171,171,88,55,285,185,175,222,1.8,1.23,0.57,51.5,32.2
Zaragoza,Real Zaragoza,3,77,45,57,57,22,11,68,45,78,98,1.35,0.79,0.56,38.6,19.3
